,sample,habitat,X,batch,weight..g.,sex,total.length..mm.,dC,dN,tr_posit,Zooplankton.diet..from.MixSIA.,DFA.scores..littoral....pelagic.,age.gr,age,group,condition,last.year.gowth.g.lnL2.lnL1,X14.00,i.15.0,ai.15.0,X15.00,i.16.0,ai.16.0,X16.00,X16.01,X16.1n.9,X16.1n.7,X16.1n.5,i.17.0,ai.17.0,X17.00,X17.01,X18.00,X18.1n,X18.1n.9,X18.1n.7,X18.1n.5,X18.2n.6,X19.00,X18.3n.6,X18.3n.3..ALA.,X18.4n.3..SDA.,X20.00,X20.1n.9,X20.2n.6,X20.4n.6..ARA.,X20.3n.3,X20.4n.3,X20.5n.3..EPA.,X22.00,X22.4n.6,X22.5n.6,X22.5n.3..DPA.,X22.6n.3..DHA.,X24.1n.9,sumPUFAS,w3,w6,w3.w6,sumMUFAS,pelagic.diet.over..benthic.pelagic.,piscivory,lines.LP,lines.LL,Lines.P,Lines.pisc,cluster2,hab_age,hab_age.num,cluster3,X.4,X.5,wrong.clasif,X.2,L1,L2,L3,L4,L5,L6,X.1,L.t.,hab_age.num2,cla,cla.sd,cop,cop.sd,kcluster_hab.num,finalcluster.n,final.cluster,bg,fish,litt,pel,fish.sd,lit.sd,pel.sd,epa.ara,dha.ara,bact,SAFA,percfish,perclitt,percpel
1,L01,littoral,NA,b7,14.01,,106,-23.69,10.28,3.110333,0.166,0.73117954,1,1,LL,1.1763066,0.35300093,0.6091688,0.16804941,0.048381931,0.2661361,0.67693495,0.07080678,20.88773,0.1643933,0.2537682,2.32597,0.3943055,0.2940255,0.09315071,0.7878852,0.1838266,7.267584,0.065027187,3.464153,4.780304,0.03957121,1.752981,0.33440034,0.17349311,1.9421025,0.6725148,0.11592431,0.0484048,0.122810316,5.871646,0.13010816,0.2242914,18.270298,0.14070243,0.3562728,0.8793609,3.793775,21.74354,0.5862027,55.93319,46.77663,9.156565,5.108535,11.719725,0.3,non-piscivorous,NA,1,NA,NA,1,littoral 1,19,1,NA,NA,,,74.47,NA,NA,NA,NA,NA,NA,NA,19,0.174,0.086,0.062,0.045,green3,green3,LB,NA,0.189,0.574,0.236,0.1,0.116,0.097061836,3.111614358,3.703142185,2.739770921,30.40953118,18.9,57.4,23.6
2,L02,littoral,NA,b7,10.72,,100,-25.15,11.14,3.363652,0.581,1.08231569,1,1,LL,1.072,0.33639624,0.902522,0.27548127,0.1140788,0.3696605,0.74138544,0.16900039,18.51682,0.2791353,0.4350967,2.436828,0.4286138,0.5977639,0.26291308,1.0073524,0.2934659,7.19595,0.20102805,4.474127,3.78334,0.06908579,2.301715,0.2418359,0.20966309,2.9017063,0.8757759,0.14768732,0.09076776,0.109926795,6.001713,0.3238295,0.3293795,13.999524,0.12338983,0.4651473,1.5810781,2.91195,23.89042,0.940841,55.90183,45.23259,10.669243,4.239531,12.491489,0.394,non-piscivorous,NA,1,NA,NA,1,littoral 1,19,1,NA,NA,,,71.43,NA,NA,NA,NA,NA,NA,NA,19,0.178,0.132,0.091,0.091,green3,green3,LB,NA,0.269,0.461,0.269,0.184,0.194,0.160327789,2.332588046,3.980600205,3.77947168,28.50521795,26.9,46.1,26.9
3,L03R,littoral,NA,b6,11.93,,103,-25.67,11.77,3.548577,0.678,-0.65872971,1,1,LL,1.091764,0.23971209,0.8812549,0.19381612,0.062982708,0.3136836,0.44916301,0.10440295,19.78373,0.205901,0.3975227,2.39126,0.313472,0.3752192,0.14237942,0.8924596,0.2719408,7.477221,0.082046857,4.543498,3.464355,0.03696707,2.46905,0.15695764,0.19462651,3.3045442,0.7984649,0.13512415,0.07539902,0.114449966,5.716113,0.21793097,0.2713345,14.137832,0.10605143,0.2701857,1.6711631,2.305459,24.92358,0.7484547,56.39474,45.95915,10.435588,4.404079,11.782362,0.431,non-piscivorous,NA,1,NA,NA,2,littoral 1,19,1,NA,NA,,,81.05,NA,NA,NA,NA,NA,NA,NA,19,0.172,0.126,0.115,0.114,green3,black,Pisc,1,0.338,0.375,0.287,0.204,0.189,0.169917627,2.473329691,4.360232207,2.691064248,29.74648232,33.8,37.5,28.7
4,L04,littoral,NA,b13,7.8,,93,-24.01,9.55,2.896248,0.088,-0.31930666,1,1,LL,0.9697187,0.36891545,0.8510292,0.28286621,0.120673614,0.3843643,0.4644247,0.12660323,18.16772,0.1903846,0.350277,3.408103,0.4066054,0.4359049,0.23442199,0.9233236,0.2839192,7.430358,0.115939304,4.800701,4.521278,0.0558016,3.383911,0.12988664,0.20358978,2.5037849,0.839857,0.16992911,0.09510834,0.173744207,6.743292,0.15602569,0.2643924,14.87612,0.14531368,0.5044653,1.4302595,2.368439,21.79173,0.6654534,55.23961,42.80035,12.439262,3.440747,14.228118,0.312,non-piscivorous,NA,1,NA,NA,1,littoral 1,19,1,NA,NA,,,64.31,NA,NA,NA,NA,NA,NA,NA,19,0.173,0.139,0.049,0.053,green3,green3,LB,NA,0.134,0.645,0.222,0.124,0.175,0.148761554,2.206061965,3.231615953,3.102469184,28.20192453,13.4,64.5,22.2
5,L05,littoral,NA,b6,10.07,,102,-26.65,10.49,3.17408,0.593,1.26434837,1,1,LP,0.9489186,0.26276193,1.0364667,0.41970522,0.210564857,0.3953062,0.37235868,0.10502919,19.11531,0.2850853,0.546762,2.602498,0.3643553,0.4184031,0.12469013,0.8700251,0.2652443,6.427351,0.048890106,5.180736,3.423226,0.04064429,2.876206,0.12106308,0.18961494,3.2750585,1.5599983,0.15876325,0.09923611,0.159900436,7.698126,0.13197013,0.4032458,14.300591,0.10614413,0.3757495,2.0349017,1.936514,21.4594,0.8608633,56.40128,43.06678,13.3345,3.229726,12.856678,0.508,non-piscivorous,1,NA,NA,NA,3,littoral 1,19,2,NA,NA,,,78.43,NA,NA,NA,NA,NA,NA,NA,19,0.407,0.122,0.241,0.098,blue,blue,LP,NA,0.229,0.123,0.648,0.103,0.083,0.156486421,1.857671724,2.787613505,3.037145557,28.23042946,22.9,12.3,64.8
6,L06,littoral,NA,b6,12.4,,107,-25.56,11.12,3.360015,0.603,-0.37894565,1,1,LL,1.0122094,0.29304514,1.0682196,0.21865312,0.105513802,0.2800422,0.41344564,0.07975401,19.3212,0.2342627,0.3939214,3.049782,0.3509818,0.3023105,0.09729143,0.8533514,0.2547521,6.981377,0.02904525,4.650016,3.279481,0.02305058,2.506112,0.18841189,0.24242652,2.5546038,1.1051394,0.15076413,0.08419655,0.21406914,5.978843,0.09962964,0.2774644,14.394608,0.1059733,0.3039919,2.0728757,2.394719,24.52478,0.8149413,56.66926,45.35094,11.318318,4.006862,12.349489,0.426,non-piscivorous,NA,1,NA,NA,1,littoral 1,19,1,NA,NA,,,79.82,NA,NA,NA,NA,NA,NA,NA,19,0.203,0.144,0.104,0.102,green3,green3,LB,NA,0.27,0.424,0.307,0.188,0.19,0.176465294,2.4075909,4.101927413,2.538773992,28.94933952,27,42.4,30.7
7,L07,littoral,NA,b6,12.95,,105,-27.58,11.26,3.400889,0.773,0.43505073,1,1,LP,1.1186697,0.28975596,1.0459799,0.38069287,0.195709273,0.4192154,0.32438302,0.10249491,19.73597,0.3013894,0.4876891,2.191367,0.4444555,0.3934138,0.10617741,0.8507893,0.2307509,6.467032,0.018200773,4.579316,3.055524,0.03839211,2.134984,0.11624182,0.14550577,3.0121764,1.5832176,0.13658482,0.0774804,0.219673496,7.35347,0.12854434,0.4097591,13.837366,0.08789146,0.4018287,2.1461181,2.050216,24.04723,0.7427622,57.47009,45.06851,12.40158,3.634094,11.424566,0.583,non-piscivorous,1,NA,NA,NA,3,littoral 1,19,2,NA,NA,,,78.59,NA,NA,NA,NA,NA,NA,NA,19,0.369,0.186,0.283,0.165,blue,blue,LP,NA,0.234,0.114,0.652,0.156,0.102,0.248638291,1.881746441,3.270188088,2.889117803,28.8597047,23.4,11.4,65.2
8,L08,littoral,NA,b6,13.02,,108,-27.55,11.2,3.382827,0.761,-4.6579053,1,1,LP,1.0335696,0.30831151,1.1097722,0.38700216,0.223565173,0.3852213,0.3481176,0.10224855,19.09221,0.2983719,0.5250942,2.423189,0.4127219,0.3973195,0.11806513,0.8144807,0.2370329,6.40892,0.037174464,5.222063,2.857932,0.03642607,2.161678,0.11084395,0.16278123,3.3003832,2.0225619,0.13890476,0.0809477,0.218910822,6.988157,0.15098062,0.4573577,13.55241,0.10940406,0.4330985,2.0443263,1.839668,23.95734,0.833325,57.28965,45.2807,12.008952,3.770579,12.130952,0.575,non-piscivorous,1,NA,NA,NA,3,littoral 1,19,2,NA,NA,,,79.35,NA,NA,NA,NA,NA,NA,NA,19,0.38,0.185,0.277,0.163,blue,blue,LP,NA,0.225,0.118,0.657,0.153,0.103,0.246564393,1.939339657,3.428277298,2.886864063,28.16975697,22.5,11.8,65.7
9,L09,littoral,NA,b5,15.42,,115,-24.54,11.2,3.382826,0.556,-2.28368905,1,1,LL,1.01389,0.29420624,0.5391529,0.14688234,0.045234925,0.38067,0.42742451,0.07474818,19.53086,0.1604891,0.2771307,2.494981,0.4260282,0.2134729,0.11094624,0.9282161,0.2968789,7.593175,0.047904368,3.935006,4.687964,0.02957146,2.473129,0.22671698,0.16388655,2.5100697,0.4725263,0.15842831,0.06462814,0.165900434,7.166598,0.09494673,0.1818908,15.145236,0.1396239,0.445846,1.421446,2.692306,23.63608,0.4940043,56.56986,44.73306,11.836806,3.779149,12.420582,0.354,non-piscivorous,NA,1,NA,NA,1,littoral 1,19,1,NA,NA,,,85.69,NA,NA,NA,NA,NA,NA,NA,19,0.146,0.111,0.073,0.075,green3,green3,LB,NA,0.262,0.519,0.219,0.188,0.197,0.133962681,2.113308993,3.298089275,2.554312175,29.49684319,26.2,51.9,21.9
10,L10,littoral,NA,b5,12.6,,106,-23.89,10.62,3.21209,0.306,-0.48619001,1,1,LL,1.0579203,0.33172686,0.5804697,0.14131738,0.038169531,0.3244141,0.43492492,0.0586548,20.52737,0.1328043,0.2502308,2.663454,0.4147701,0.1712807,0.05584935,0.8854512,0.2468547,7.667235,0.037353082,4.031846,5.502495,0.0313375,2.17286,0.35007617,0.20190236,2.8636954,0.6542918,0.1276668,0.05146666,0.248215355,5.363404,0.09266734,0.1954856,16.834923,0.14129191,0.3011408,1.0576068,2.944723,21.80956,0.3927434,54.74047,45.39534,9.345129,4.857648,13.362612,0.313,non-piscivorous,NA,1,NA,NA,1,littoral 1,19,1,NA,NA,,,76.07,NA,NA,NA,NA,NA,NA,NA,19,0.134,0.106,0.057,0.06,green3,green3,LB,NA,0.192,0.616,0.191,0.159,0.18,0.12180312,3.138850439,4.066365316,2.460138151,30.60397488,19.2,61.6,19.1
